bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1894268,2172,ABX11,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Sections 5.25 and 39.10 of that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0,,2025-02-03,"From committee without further action.",https://legiscan.com/CA/bill/ABX11/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB1
1893344,2172,AB1,4,Passed,2025-10-09,"Residential property insurance: wildfire risk.","An act to add Article 5 (commencing with Section 2095) to Chapter 2 of Part 1 of Division 2 of the Insurance Code, relating to insurance.",0,,2025-10-09,"Chaptered by Secretary of State - Chapter 472, Statutes of 2025.",https://legiscan.com/CA/bill/AB1/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB1
1894283,2172,ABX12,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Section 99.50 of, and by adding Section 5.26 to, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0,,2025-02-03,"From committee without further action.",https://legiscan.com/CA/bill/ABX12/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB2
1893355,2172,AB2,2,Engrossed,2025-05-12,"Injuries to children: civil penalties.","An act to add Section 1714.02 to the Civil Code, relating to social media platforms.",482,"Senate Judiciary",2025-07-14,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB2/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB2
1929564,2172,ABX13,6,Failed,2025-02-03,"Personal Income Tax: tax credits: fire-resistant home improvements.","An act to add and repeal Section 17053.4 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX13/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB3
1893366,2172,AB3,1,Introduced,2024-12-02,"Alcohol and drug treatment facilities: local regulation.","An act to amend Section 11834.23 of the Health and Safety Code, relating to alcohol and drug treatment facilities.",457,"Assembly Health",2025-03-24,"Re-referred to Com. on HEALTH.",https://legiscan.com/CA/bill/AB3/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB3
1893377,2172,AB4,1,Introduced,2024-12-02,"Covered California expansion.","An act to repeal and add Section 100522 of the Government Code, relating to health care.",0,,2025-05-23,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB4/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB4
1930793,2172,ABX14,4,Passed,2025-01-24,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Sections 39.00 and 99.50 of, and by adding Section 90.00 to, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0,,2025-01-24,"Chaptered by Secretary of State - Chapter 1, Statutes of 2025.",https://legiscan.com/CA/bill/ABX14/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB4
1893388,2172,AB5,4,Passed,2025-10-03,"Elections: official canvass.","An act to add Section 15307 to the Elections Code, relating to elections.",0,,2025-10-03,"Chaptered by Secretary of State - Chapter 250, Statutes of 2025.",https://legiscan.com/CA/bill/AB5/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB5
1930784,2172,ABX15,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Items 2240-001-0001 and 7760-001-0001 of Section 2.00 of, by amending Sections 39.00 and 99.50 of, and by adding Section 90.01 to, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0,,2025-02-03,"Died on inactive file.",https://legiscan.com/CA/bill/ABX15/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB5
