bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1893344,3029557,text,12781,text/html,Introduced,https://legiscan.com/CA/text/AB1/id/3029557,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1#99INT
1894268,3029999,text,11370,text/html,Introduced,https://legiscan.com/CA/text/ABX11/id/3029999,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB1#99INT
1894268,3049384,text,14994,text/html,Amended,https://legiscan.com/CA/text/ABX11/id/3049384,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB1#98AMD
1893344,3269453,text,13795,text/html,Enrolled,https://legiscan.com/CA/text/AB1/id/3269453,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1#98ENR
1893344,3272734,text,12642,text/html,Chaptered,https://legiscan.com/CA/text/AB1/id/3272734,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1#97CHP
1893355,3029568,text,4603,text/html,Introduced,https://legiscan.com/CA/text/AB2/id/3029568,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2#99INT
1894283,3030001,text,9484,text/html,Introduced,https://legiscan.com/CA/text/ABX12/id/3030001,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB2#99INT
1894283,3049197,text,45848,text/html,Amended,https://legiscan.com/CA/text/ABX12/id/3049197,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB2#98AMD
1893355,3178794,text,8526,text/html,Amended,https://legiscan.com/CA/text/AB2/id/3178794,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2#98AMD
1893355,3201527,text,8296,text/html,Amended,https://legiscan.com/CA/text/AB2/id/3201527,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2#97AMD
1893366,3029579,text,7346,text/html,Introduced,https://legiscan.com/CA/text/AB3/id/3029579,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB3#99INT
1929564,3066911,text,8283,text/html,Introduced,https://legiscan.com/CA/text/ABX13/id/3066911,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB3#99INT
1893366,3183978,text,9367,text/html,Amended,https://legiscan.com/CA/text/AB3/id/3183978,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB3#98AMD
1893377,3029590,text,14724,text/html,Introduced,https://legiscan.com/CA/text/AB4/id/3029590,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB4#99INT
1930793,3068340,text,34672,text/html,Introduced,https://legiscan.com/CA/text/ABX14/id/3068340,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB4#99INT
1930793,3077048,text,35684,text/html,Enrolled,https://legiscan.com/CA/text/ABX14/id/3077048,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB4#98ENR
1930793,3081861,text,33846,text/html,Chaptered,https://legiscan.com/CA/text/ABX14/id/3081861,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB4#97CHP
1893388,3029601,text,3189,text/html,Introduced,https://legiscan.com/CA/text/AB5/id/3029601,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#99INT
1930784,3068339,text,57347,text/html,Introduced,https://legiscan.com/CA/text/ABX15/id/3068339,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB5#99INT
1893388,3162348,text,8502,text/html,Amended,https://legiscan.com/CA/text/AB5/id/3162348,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#98AMD
1893388,3258365,text,8589,text/html,Amended,https://legiscan.com/CA/text/AB5/id/3258365,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#97AMD
1893388,3260453,text,8276,text/html,Amended,https://legiscan.com/CA/text/AB5/id/3260453,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#96AMD
1893388,3268846,text,9052,text/html,Enrolled,https://legiscan.com/CA/text/AB5/id/3268846,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#95ENR
1893388,3272030,text,7090,text/html,Chaptered,https://legiscan.com/CA/text/AB5/id/3272030,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB5#94CHP
1893399,3029612,text,8951,text/html,Introduced,https://legiscan.com/CA/text/AB6/id/3029612,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB6#99INT
1933606,3071014,text,6093,text/html,Introduced,https://legiscan.com/CA/text/ABX16/id/3071014,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520261AB6#99INT
1893399,3193870,text,10220,text/html,Amended,https://legiscan.com/CA/text/AB6/id/3193870,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB6#98AMD
