bill_id,date,chamber,sequence,action
1893344,2024-12-02,Assembly,1,"Read first time. To print."
1893344,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893344,2025-02-03,Assembly,3,"Referred to Com. on INS."
1893344,2025-04-02,Assembly,4,"Coauthors revised."
1893344,2025-04-02,Assembly,5,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 17. Noes 0.) (April 2). Re-referred to Com. on APPR."
1893344,2025-04-23,Assembly,6,"In committee: Set, first hearing. Referred to suspense file."
1893344,2025-05-23,Assembly,7,"From committee: Do pass. (Ayes 14. Noes 0.) (May 23)."
1893344,2025-05-27,Assembly,8,"Read second time. Ordered to third reading."
1893344,2025-06-02,Assembly,9,"Read third time. Passed. Ordered to the Senate. (Ayes 79. Noes 0. Page 1815.)"
1893344,2025-06-03,Senate,10,"In Senate. Read first time. To Com. on RLS. for assignment."
1893344,2025-06-11,Senate,11,"Referred to Com. on INS."
1893344,2025-06-25,Senate,12,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 7. Noes 0.) (June 25). Re-referred to Com. on APPR."
1893344,2025-07-09,Senate,13,"In committee: Hearing postponed by committee."
1893344,2025-08-18,Senate,14,"In committee: Referred to suspense file."
1893344,2025-08-29,Senate,15,"From committee: Do pass. (Ayes 7. Noes 0.) (August 29)."
1893344,2025-08-29,Senate,16,"Read second time. Ordered to third reading."
1893344,2025-09-02,Senate,17,"Ordered to special consent calendar."
1893344,2025-09-03,Senate,18,"From special consent calendar."
1893344,2025-09-03,Senate,19,"Ordered to third reading."
1893344,2025-09-11,Senate,20,"Read third time. Passed. Ordered to the Assembly. (Ayes 40. Noes 0.)."
1893344,2025-09-12,Assembly,21,"In Assembly. Ordered to Engrossing and Enrolling."
1893344,2025-09-23,,22,"Enrolled and presented to the Governor at 4 p.m."
1893344,2025-10-09,,23,"Approved by the Governor."
1893344,2025-10-09,,24,"Chaptered by Secretary of State - Chapter 472, Statutes of 2025."
