bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1893344,1535026,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",17,0,0,0,17
1893344,1577277,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1893344,1583530,2025-06-02,Assembly,"AB 1 Connolly Assembly Third Reading",79,0,0,0,79
1893344,1595190,2025-06-25,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",7,0,0,0,7
1893344,1599526,2025-08-18,Senate,"Placed on suspense file",7,0,0,0,7
1893344,1600259,2025-08-29,Senate,"Do pass",7,0,0,0,7
1893344,1601958,2025-09-11,Senate,"Assembly 3rd Reading AB1 Connolly et al. By Allen",40,0,0,0,40
1893346,1558358,2025-04-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,3,0,2,12
1893346,1577924,2025-05-23,Assembly,"Do pass",11,3,0,1,15
1893346,1583563,2025-06-02,Assembly,"AB 11 Lee Assembly Third Reading",47,20,0,12,79
1893348,1528312,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",18,0,0,0,18
1893348,1577333,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1893348,1584392,2025-06-03,Assembly,"AB 13 Ransom Assembly Third Reading",79,0,0,0,79
1893348,1598491,2025-07-15,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",16,0,0,1,17
1893348,1599491,2025-08-18,Senate,"Placed on suspense file",7,0,0,0,7
1893349,1526958,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources] with recommendation: To Consent Calendar",13,0,0,0,13
1893349,1538900,2025-04-07,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1893349,1555969,2025-04-23,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1893349,1564261,2025-05-01,Assembly,"AB 14 Hart Consent Calendar Second Day Regular Session",76,0,0,3,79
